timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], clocks.current.sm [MHz]
2026/06/17 12:42:20.999, 31.22 W, 79, 33 %, 1500 MHz
2026/06/17 12:42:22.011, 30.63 W, 79, 32 %, 1500 MHz
2026/06/17 12:42:23.030, 30.43 W, 79, 30 %, 1500 MHz
2026/06/17 12:42:24.044, 32.05 W, 79, 35 %, 1500 MHz
2026/06/17 12:42:25.063, 32.02 W, 79, 38 %, 1500 MHz
2026/06/17 12:42:26.076, 32.84 W, 79, 40 %, 1500 MHz
2026/06/17 12:42:27.091, 32.68 W, 79, 31 %, 1500 MHz
2026/06/17 12:42:28.103, 29.08 W, 79, 30 %, 1500 MHz
2026/06/17 12:42:29.118, 31.33 W, 79, 34 %, 1500 MHz
2026/06/17 12:42:30.134, 31.37 W, 79, 27 %, 1500 MHz
2026/06/17 12:42:31.151, 31.91 W, 79, 34 %, 1500 MHz
2026/06/17 12:42:32.166, 31.54 W, 79, 33 %, 1500 MHz
2026/06/17 12:42:33.168, 31.92 W, 79, 29 %, 1500 MHz
2026/06/17 12:42:34.182, 33.81 W, 79, 40 %, 1500 MHz
2026/06/17 12:42:35.198, 32.78 W, 79, 37 %, 1500 MHz
2026/06/17 12:42:36.212, 30.56 W, 79, 26 %, 1500 MHz
2026/06/17 12:42:37.223, 32.81 W, 79, 37 %, 1500 MHz
2026/06/17 12:42:38.238, 32.48 W, 79, 35 %, 1500 MHz
2026/06/17 12:42:39.242, 32.16 W, 79, 28 %, 1500 MHz
2026/06/17 12:42:40.247, 33.50 W, 79, 38 %, 1500 MHz
2026/06/17 12:42:41.253, 33.71 W, 79, 40 %, 1500 MHz
2026/06/17 12:42:42.263, 28.97 W, 79, 31 %, 1552 MHz
2026/06/17 12:42:43.268, 34.29 W, 79, 33 %, 1552 MHz
2026/06/17 12:42:44.284, 31.20 W, 79, 34 %, 1500 MHz
2026/06/17 12:42:45.298, 31.39 W, 79, 33 %, 1500 MHz
2026/06/17 12:42:46.300, 32.23 W, 79, 36 %, 1500 MHz
2026/06/17 12:42:47.304, 31.58 W, 79, 32 %, 1500 MHz
2026/06/17 12:42:48.319, 32.22 W, 79, 36 %, 1500 MHz
2026/06/17 12:42:49.325, 32.02 W, 79, 34 %, 1500 MHz
2026/06/17 12:42:50.343, 31.28 W, 79, 32 %, 1500 MHz
2026/06/17 12:42:51.357, 30.77 W, 79, 32 %, 1500 MHz
2026/06/17 12:42:52.373, 32.45 W, 79, 35 %, 1500 MHz
2026/06/17 12:42:53.388, 32.46 W, 80, 38 %, 1500 MHz
